[14-12-21 17:06] [INFO] - Start learning-based inertial-based activity recognition
[14-12-21 17:06] [INFO] - Using imu dataset file: /data/Users/Nati/IMUTL/Datasets/GPS/3_classes/GPS_train_set.csv
[14-12-21 17:06] [INFO] - Running with configuration:
	n_freq_print: 20
	n_freq_checkpoint: 10
	n_workers: 4
	device_id: cuda:0
	experiment: description of experiment
	is_data_header: 0
	input_dim: 3
	window_size: 50
	window_shift: 50
	batch_size: 32
	lr: 0.0001
	weight_decay: 0.0001
	eps: 1e-10
	lr_scheduler_step_size: 3
	lr_scheduler_gamma: 0.5
	n_epochs: 10
	use_gps: True
	imu-transformer: {'encode_position': True, 'transformer_dim': 64, 'nhead': 8, 'num_encoder_layers': 6, 'num_decoder_layers': 6, 'dim_feedforward': 128, 'transformer_dropout': 0.1, 'transformer_activation': 'gelu', 'head_activation': 'gelu'}
	imu-cnn: {'dropout': 0.1, 'latent_dim': 64}
	imu-lstm: {'lstm_hidden_dim': 16, 'dropout': 0.1, 'latent_dim': 64}
	imu-resnet: {'fc_dim': 2048, 'dropout': 0.5, 'kernel_size': 3, 'base_plane': 32, 'filter': None, 'downsampling': False, 'zero_init_residual': False}
[14-12-21 17:06] [INFO] - Prepare dataset
[14-12-21 17:06] [INFO] - Found 3 unique classes,
[14-12-21 17:06] [INFO] - Class Walk [id 1] mapped to id 0
[14-12-21 17:06] [INFO] - Class Bike [id 2] mapped to id 1
[14-12-21 17:06] [INFO] - Class Vehicle [id 3] mapped to id 2
[14-12-21 17:06] [INFO] - Number of windows: 75689 (generated from 75689 windows of size 50 with shift 50)
[14-12-21 17:06] [INFO] - Train model: imu-resnet, Trainable params: 1490787
[14-12-21 17:06] [INFO] - Data preparation completed
[14-12-21 17:07] [INFO] - [Batch-1121/Epoch-1] batch loss: 0.901
[14-12-21 17:07] [INFO] - [Batch-1141/Epoch-1] batch loss: 1.017
[14-12-21 17:07] [INFO] - [Batch-1161/Epoch-1] batch loss: 1.086
[14-12-21 17:07] [INFO] - [Batch-1181/Epoch-1] batch loss: 1.042
[14-12-21 17:07] [INFO] - [Batch-1201/Epoch-1] batch loss: 0.919
[14-12-21 17:07] [INFO] - [Batch-1221/Epoch-1] batch loss: 0.899
[14-12-21 17:07] [INFO] - [Batch-1241/Epoch-1] batch loss: 0.941
[14-12-21 17:07] [INFO] - [Batch-1261/Epoch-1] batch loss: 0.941
[14-12-21 17:07] [INFO] - [Batch-1281/Epoch-1] batch loss: 1.074
[14-12-21 17:07] [INFO] - [Batch-1301/Epoch-1] batch loss: 0.982
[14-12-21 17:07] [INFO] - [Batch-1321/Epoch-1] batch loss: 0.883
[14-12-21 17:07] [INFO] - [Batch-1341/Epoch-1] batch loss: 0.865
[14-12-21 17:07] [INFO] - [Batch-1361/Epoch-1] batch loss: 0.960
[14-12-21 17:07] [INFO] - [Batch-1381/Epoch-1] batch loss: 0.979
[14-12-21 17:07] [INFO] - [Batch-1401/Epoch-1] batch loss: 1.148
[14-12-21 17:07] [INFO] - [Batch-1421/Epoch-1] batch loss: 0.999
[14-12-21 17:07] [INFO] - [Batch-1441/Epoch-1] batch loss: 0.990
[14-12-21 17:07] [INFO] - [Batch-1461/Epoch-1] batch loss: 1.024
[14-12-21 17:07] [INFO] - [Batch-1481/Epoch-1] batch loss: 0.809
[14-12-21 17:07] [INFO] - [Batch-1501/Epoch-1] batch loss: 0.961
[14-12-21 17:07] [INFO] - [Batch-1521/Epoch-1] batch loss: 1.038
[14-12-21 17:07] [INFO] - [Batch-1541/Epoch-1] batch loss: 1.004
[14-12-21 17:07] [INFO] - [Batch-1561/Epoch-1] batch loss: 1.000
[14-12-21 17:07] [INFO] - [Batch-1581/Epoch-1] batch loss: 0.944
[14-12-21 17:07] [INFO] - [Batch-1601/Epoch-1] batch loss: 1.107
[14-12-21 17:07] [INFO] - [Batch-1621/Epoch-1] batch loss: 1.008
[14-12-21 17:07] [INFO] - [Batch-1641/Epoch-1] batch loss: 0.843
[14-12-21 17:07] [INFO] - [Batch-1661/Epoch-1] batch loss: 0.825
[14-12-21 17:07] [INFO] - [Batch-1681/Epoch-1] batch loss: 0.905
[14-12-21 17:07] [INFO] - [Batch-1701/Epoch-1] batch loss: 1.031
[14-12-21 17:07] [INFO] - [Batch-1721/Epoch-1] batch loss: 0.906
[14-12-21 17:07] [INFO] - [Batch-1741/Epoch-1] batch loss: 0.975
[14-12-21 17:07] [INFO] - [Batch-1761/Epoch-1] batch loss: 1.044
[14-12-21 17:07] [INFO] - [Batch-1781/Epoch-1] batch loss: 0.848
[14-12-21 17:07] [INFO] - [Batch-1801/Epoch-1] batch loss: 0.991
[14-12-21 17:07] [INFO] - [Batch-1821/Epoch-1] batch loss: 1.054
[14-12-21 17:07] [INFO] - [Batch-1841/Epoch-1] batch loss: 0.925
[14-12-21 17:07] [INFO] - [Batch-1861/Epoch-1] batch loss: 0.980
[14-12-21 17:07] [INFO] - [Batch-1881/Epoch-1] batch loss: 0.979
[14-12-21 17:07] [INFO] - [Batch-1901/Epoch-1] batch loss: 0.862
[14-12-21 17:07] [INFO] - [Batch-1921/Epoch-1] batch loss: 1.013
[14-12-21 17:07] [INFO] - [Batch-1941/Epoch-1] batch loss: 0.780
[14-12-21 17:07] [INFO] - [Batch-1961/Epoch-1] batch loss: 1.021
[14-12-21 17:07] [INFO] - [Batch-1981/Epoch-1] batch loss: 1.090
[14-12-21 17:07] [INFO] - [Batch-2001/Epoch-1] batch loss: 0.941
[14-12-21 17:07] [INFO] - [Batch-2021/Epoch-1] batch loss: 0.854
[14-12-21 17:07] [INFO] - [Batch-2041/Epoch-1] batch loss: 1.251
[14-12-21 17:07] [INFO] - [Batch-2061/Epoch-1] batch loss: 0.886
[14-12-21 17:07] [INFO] - [Batch-2081/Epoch-1] batch loss: 0.863
[14-12-21 17:07] [INFO] - [Batch-2101/Epoch-1] batch loss: 1.087
[14-12-21 17:07] [INFO] - [Batch-2121/Epoch-1] batch loss: 0.945
[14-12-21 17:07] [INFO] - [Batch-2141/Epoch-1] batch loss: 1.109
[14-12-21 17:07] [INFO] - [Batch-2161/Epoch-1] batch loss: 0.915
[14-12-21 17:07] [INFO] - [Batch-2181/Epoch-1] batch loss: 0.884
[14-12-21 17:07] [INFO] - [Batch-2201/Epoch-1] batch loss: 0.973
[14-12-21 17:07] [INFO] - [Batch-2221/Epoch-1] batch loss: 0.789
[14-12-21 17:07] [INFO] - [Batch-2241/Epoch-1] batch loss: 0.948
[14-12-21 17:07] [INFO] - [Batch-2261/Epoch-1] batch loss: 0.896
[14-12-21 17:07] [INFO] - [Batch-2281/Epoch-1] batch loss: 0.943
[14-12-21 17:07] [INFO] - [Batch-2301/Epoch-1] batch loss: 0.835
[14-12-21 17:07] [INFO] - [Batch-2321/Epoch-1] batch loss: 0.805
[14-12-21 17:07] [INFO] - [Batch-2341/Epoch-1] batch loss: 0.916
[14-12-21 17:07] [INFO] - [Batch-2361/Epoch-1] batch loss: 1.139
[14-12-21 17:07] [INFO] - [Batch-1/Epoch-2] batch loss: 0.915
[14-12-21 17:07] [INFO] - [Batch-21/Epoch-2] batch loss: 0.906
[14-12-21 17:07] [INFO] - [Batch-41/Epoch-2] batch loss: 0.988
[14-12-21 17:07] [INFO] - [Batch-61/Epoch-2] batch loss: 0.932
[14-12-21 17:07] [INFO] - [Batch-81/Epoch-2] batch loss: 0.917
[14-12-21 17:07] [INFO] - [Batch-101/Epoch-2] batch loss: 0.931
[14-12-21 17:07] [INFO] - [Batch-121/Epoch-2] batch loss: 1.088
[14-12-21 17:07] [INFO] - [Batch-141/Epoch-2] batch loss: 0.962
[14-12-21 17:07] [INFO] - [Batch-161/Epoch-2] batch loss: 0.824
[14-12-21 17:07] [INFO] - [Batch-181/Epoch-2] batch loss: 0.849
[14-12-21 17:07] [INFO] - [Batch-201/Epoch-2] batch loss: 0.900
[14-12-21 17:07] [INFO] - [Batch-221/Epoch-2] batch loss: 0.963
[14-12-21 17:07] [INFO] - [Batch-241/Epoch-2] batch loss: 1.028
[14-12-21 17:07] [INFO] - [Batch-261/Epoch-2] batch loss: 0.968
[14-12-21 17:07] [INFO] - [Batch-281/Epoch-2] batch loss: 0.895
[14-12-21 17:07] [INFO] - [Batch-301/Epoch-2] batch loss: 0.941
[14-12-21 17:07] [INFO] - [Batch-321/Epoch-2] batch loss: 1.007
[14-12-21 17:07] [INFO] - [Batch-341/Epoch-2] batch loss: 0.895
[14-12-21 17:07] [INFO] - [Batch-361/Epoch-2] batch loss: 1.045
[14-12-21 17:07] [INFO] - [Batch-381/Epoch-2] batch loss: 1.033
[14-12-21 17:08] [INFO] - [Batch-401/Epoch-2] batch loss: 0.985
[14-12-21 17:08] [INFO] - [Batch-421/Epoch-2] batch loss: 0.837
[14-12-21 17:08] [INFO] - [Batch-441/Epoch-2] batch loss: 0.923
[14-12-21 17:08] [INFO] - [Batch-461/Epoch-2] batch loss: 1.021
[14-12-21 17:08] [INFO] - [Batch-481/Epoch-2] batch loss: 0.825
[14-12-21 17:08] [INFO] - [Batch-501/Epoch-2] batch loss: 1.103
[14-12-21 17:08] [INFO] - [Batch-521/Epoch-2] batch loss: 0.984
[14-12-21 17:08] [INFO] - [Batch-541/Epoch-2] batch loss: 0.817
[14-12-21 17:08] [INFO] - [Batch-561/Epoch-2] batch loss: 1.035
[14-12-21 17:08] [INFO] - [Batch-581/Epoch-2] batch loss: 0.856
[14-12-21 17:08] [INFO] - [Batch-601/Epoch-2] batch loss: 0.954
[14-12-21 17:08] [INFO] - [Batch-621/Epoch-2] batch loss: 0.805
[14-12-21 17:08] [INFO] - [Batch-641/Epoch-2] batch loss: 0.974
[14-12-21 17:08] [INFO] - [Batch-661/Epoch-2] batch loss: 0.876
[14-12-21 17:08] [INFO] - [Batch-681/Epoch-2] batch loss: 0.964
[14-12-21 17:08] [INFO] - [Batch-701/Epoch-2] batch loss: 1.012
[14-12-21 17:08] [INFO] - [Batch-721/Epoch-2] batch loss: 0.856
[14-12-21 17:08] [INFO] - [Batch-741/Epoch-2] batch loss: 0.935
[14-12-21 17:08] [INFO] - [Batch-761/Epoch-2] batch loss: 0.936
[14-12-21 17:08] [INFO] - [Batch-781/Epoch-2] batch loss: 0.975
[14-12-21 17:08] [INFO] - [Batch-801/Epoch-2] batch loss: 0.872
[14-12-21 17:08] [INFO] - [Batch-821/Epoch-2] batch loss: 0.977
[14-12-21 17:08] [INFO] - [Batch-841/Epoch-2] batch loss: 0.938
[14-12-21 17:08] [INFO] - [Batch-861/Epoch-2] batch loss: 0.982
[14-12-21 17:08] [INFO] - [Batch-881/Epoch-2] batch loss: 0.896
[14-12-21 17:08] [INFO] - [Batch-901/Epoch-2] batch loss: 0.975
[14-12-21 17:08] [INFO] - [Batch-921/Epoch-2] batch loss: 0.863
[14-12-21 17:08] [INFO] - [Batch-941/Epoch-2] batch loss: 0.983
[14-12-21 17:08] [INFO] - [Batch-961/Epoch-2] batch loss: 0.937
[14-12-21 17:08] [INFO] - [Batch-981/Epoch-2] batch loss: 0.912
[14-12-21 17:08] [INFO] - [Batch-1001/Epoch-2] batch loss: 0.861
[14-12-21 17:08] [INFO] - [Batch-1021/Epoch-2] batch loss: 1.006
[14-12-21 17:08] [INFO] - [Batch-1041/Epoch-2] batch loss: 0.886
[14-12-21 17:08] [INFO] - [Batch-1061/Epoch-2] batch loss: 0.948
[14-12-21 17:08] [INFO] - [Batch-1081/Epoch-2] batch loss: 1.004
[14-12-21 17:08] [INFO] - [Batch-1101/Epoch-2] batch loss: 1.002
[14-12-21 17:08] [INFO] - [Batch-1121/Epoch-2] batch loss: 0.992
[14-12-21 17:08] [INFO] - [Batch-1141/Epoch-2] batch loss: 0.959
[14-12-21 17:08] [INFO] - [Batch-1161/Epoch-2] batch loss: 0.827
[14-12-21 17:08] [INFO] - [Batch-1181/Epoch-2] batch loss: 0.998
[14-12-21 17:08] [INFO] - [Batch-1201/Epoch-2] batch loss: 0.970
[14-12-21 17:08] [INFO] - [Batch-1221/Epoch-2] batch loss: 1.047
[14-12-21 17:08] [INFO] - [Batch-1241/Epoch-2] batch loss: 1.090
[14-12-21 17:08] [INFO] - [Batch-1261/Epoch-2] batch loss: 0.846
[14-12-21 17:08] [INFO] - [Batch-1281/Epoch-2] batch loss: 0.845
[14-12-21 17:08] [INFO] - [Batch-1301/Epoch-2] batch loss: 1.097
[14-12-21 17:08] [INFO] - [Batch-1321/Epoch-2] batch loss: 0.848
[14-12-21 17:08] [INFO] - [Batch-1341/Epoch-2] batch loss: 0.918
[14-12-21 17:08] [INFO] - [Batch-1361/Epoch-2] batch loss: 0.881
[14-12-21 17:08] [INFO] - [Batch-1381/Epoch-2] batch loss: 0.997
[14-12-21 17:08] [INFO] - [Batch-1401/Epoch-2] batch loss: 0.710
[14-12-21 17:08] [INFO] - [Batch-1421/Epoch-2] batch loss: 1.016
[14-12-21 17:08] [INFO] - [Batch-1441/Epoch-2] batch loss: 0.890
[14-12-21 17:08] [INFO] - [Batch-1461/Epoch-2] batch loss: 1.080
[14-12-21 17:08] [INFO] - [Batch-1481/Epoch-2] batch loss: 0.881
[14-12-21 17:08] [INFO] - [Batch-1501/Epoch-2] batch loss: 1.064
[14-12-21 17:08] [INFO] - [Batch-1521/Epoch-2] batch loss: 0.768
[14-12-21 17:08] [INFO] - [Batch-1541/Epoch-2] batch loss: 1.014
[14-12-21 17:08] [INFO] - [Batch-1561/Epoch-2] batch loss: 0.886
[14-12-21 17:08] [INFO] - [Batch-1581/Epoch-2] batch loss: 1.037
[14-12-21 17:08] [INFO] - [Batch-1601/Epoch-2] batch loss: 1.060
[14-12-21 17:08] [INFO] - [Batch-1621/Epoch-2] batch loss: 0.980
[14-12-21 17:08] [INFO] - [Batch-1641/Epoch-2] batch loss: 0.958
[14-12-21 17:08] [INFO] - [Batch-1661/Epoch-2] batch loss: 0.855
[14-12-21 17:08] [INFO] - [Batch-1681/Epoch-2] batch loss: 0.904
[14-12-21 17:08] [INFO] - [Batch-1701/Epoch-2] batch loss: 0.979
[14-12-21 17:08] [INFO] - [Batch-1721/Epoch-2] batch loss: 0.925
[14-12-21 17:08] [INFO] - [Batch-1741/Epoch-2] batch loss: 0.919
[14-12-21 17:08] [INFO] - [Batch-1761/Epoch-2] batch loss: 0.931
[14-12-21 17:08] [INFO] - [Batch-1781/Epoch-2] batch loss: 0.956
[14-12-21 17:08] [INFO] - [Batch-1801/Epoch-2] batch loss: 0.883
[14-12-21 17:08] [INFO] - [Batch-1821/Epoch-2] batch loss: 0.872
[14-12-21 17:08] [INFO] - [Batch-1841/Epoch-2] batch loss: 0.784
[14-12-21 17:08] [INFO] - [Batch-1861/Epoch-2] batch loss: 0.998
[14-12-21 17:08] [INFO] - [Batch-1881/Epoch-2] batch loss: 0.941
[14-12-21 17:08] [INFO] - [Batch-1901/Epoch-2] batch loss: 1.015
[14-12-21 17:08] [INFO] - [Batch-1921/Epoch-2] batch loss: 0.981
[14-12-21 17:08] [INFO] - [Batch-1941/Epoch-2] batch loss: 0.950
[14-12-21 17:08] [INFO] - [Batch-1961/Epoch-2] batch loss: 0.900
[14-12-21 17:08] [INFO] - [Batch-1981/Epoch-2] batch loss: 0.990
[14-12-21 17:08] [INFO] - [Batch-2001/Epoch-2] batch loss: 0.834
[14-12-21 17:08] [INFO] - [Batch-2021/Epoch-2] batch loss: 0.935
[14-12-21 17:08] [INFO] - [Batch-2041/Epoch-2] batch loss: 0.964
[14-12-21 17:08] [INFO] - [Batch-2061/Epoch-2] batch loss: 0.988
[14-12-21 17:08] [INFO] - [Batch-2081/Epoch-2] batch loss: 1.011
[14-12-21 17:08] [INFO] - [Batch-2101/Epoch-2] batch loss: 1.057
[14-12-21 17:08] [INFO] - [Batch-2121/Epoch-2] batch loss: 0.900
[14-12-21 17:08] [INFO] - [Batch-2141/Epoch-2] batch loss: 0.910
[14-12-21 17:08] [INFO] - [Batch-2161/Epoch-2] batch loss: 0.899
[14-12-21 17:08] [INFO] - [Batch-2181/Epoch-2] batch loss: 0.934
[14-12-21 17:08] [INFO] - [Batch-2201/Epoch-2] batch loss: 0.928
[14-12-21 17:08] [INFO] - [Batch-2221/Epoch-2] batch loss: 1.003
[14-12-21 17:08] [INFO] - [Batch-2241/Epoch-2] batch loss: 1.010
[14-12-21 17:08] [INFO] - [Batch-2261/Epoch-2] batch loss: 1.095
[14-12-21 17:08] [INFO] - [Batch-2281/Epoch-2] batch loss: 0.855
[14-12-21 17:08] [INFO] - [Batch-2301/Epoch-2] batch loss: 0.810
[14-12-21 17:08] [INFO] - [Batch-2321/Epoch-2] batch loss: 0.925
[14-12-21 17:08] [INFO] - [Batch-2341/Epoch-2] batch loss: 1.080
[14-12-21 17:08] [INFO] - [Batch-2361/Epoch-2] batch loss: 0.901
[14-12-21 17:08] [INFO] - [Batch-1/Epoch-3] batch loss: 0.885
[14-12-21 17:08] [INFO] - [Batch-21/Epoch-3] batch loss: 0.916
[14-12-21 17:08] [INFO] - [Batch-41/Epoch-3] batch loss: 1.036
[14-12-21 17:08] [INFO] - [Batch-61/Epoch-3] batch loss: 1.182
[14-12-21 17:08] [INFO] - [Batch-81/Epoch-3] batch loss: 0.908
[14-12-21 17:08] [INFO] - [Batch-101/Epoch-3] batch loss: 1.195
[14-12-21 17:08] [INFO] - [Batch-121/Epoch-3] batch loss: 0.986
[14-12-21 17:08] [INFO] - [Batch-141/Epoch-3] batch loss: 1.002
[14-12-21 17:08] [INFO] - [Batch-161/Epoch-3] batch loss: 0.950
[14-12-21 17:08] [INFO] - [Batch-181/Epoch-3] batch loss: 0.885
[14-12-21 17:08] [INFO] - [Batch-201/Epoch-3] batch loss: 0.840
[14-12-21 17:08] [INFO] - [Batch-221/Epoch-3] batch loss: 1.044
[14-12-21 17:08] [INFO] - [Batch-241/Epoch-3] batch loss: 1.118
[14-12-21 17:08] [INFO] - [Batch-261/Epoch-3] batch loss: 0.919
[14-12-21 17:08] [INFO] - [Batch-281/Epoch-3] batch loss: 0.957
